firstname,lastname,password,telephone,upn,sam,ou,group,spgroup
Johnny,Larsson,=JoHJoH1106=,0707121001,johlar01@osthyvel.se,johlar01,Mozzarella,FabriksPersonal,Ledning
Bére,Tandia,%BeRBeRaN98%,0707121002,bertan02@osthyvel.se,bertan02,Mozzarella,ButiksPersonal,Ledning
Grigorios,Kyriakoudis,+gRigRi3103+,0707121003,grikyr03@osthyvel.se,grikyr03,Mozzarella,KontorsPersonal,Ledning
Victor,Thorén,[VicVico118[,0707121004,victho04@osthyvel.se,victho04,Mozzarella,HRPersonal,
Emil,Sivonen,#emiemi5101#,0707121005,emisiv05@osthyvel.se,emisiv05,Mozzarella,PRPersonal,
Daniel,Gomez,!DaNDaNm100!,0707121006,dangom06@osthyvel.se,dangom06,Mozzarella,PRPersonal,
Ludvig ,Garnås ,&LuDLuD7108&,0707121007,ludgar07@osthyvel.se,ludgar07,Mozzarella,ITPersonal,
Ramy,Matti,!RamRamT114!,0707121008,rammat08@osthyvel.se,rammat08,Mozzarella,ITPersonal,
Karl,Ingves,!kaRkaR9107!,0707121009,karing09@osthyvel.se,karing09,Mozzarella,ButiksPersonal,
Andreas,Odenfelt,_aNDaNDe197_,0707121010,andode10@osthyvel.se,andode10,Mozzarella,ButiksPersonal,
André,Gaulitz,_aNDaND1197_,0707121011,andgau11@osthyvel.se,andgau11,Mozzarella,ButiksPersonal,
Christoffer,Silverson,{cHRcHRL199{,0707121012,chrsil12@osthyvel.se,chrsil12,Mozzarella,ButiksPersonal,
Daniel,Dascola,!DaNDaN3100!,0707121013,dandas13@osthyvel.se,dandas13,Mozzarella,FabriksPersonal,
Jonas,Johansson,=JoNJoN1106=,0707121014,jonjoh14@osthyvel.se,jonjoh14,Mozzarella,FabriksPersonal,
Filip,Lundgren,[FiLFiL5102[,0707121015,fillun15@osthyvel.se,fillun15,Mozzarella,FabriksPersonal,
Sid,Knutsson,[siDsiD1115[,0707121016,sidknu16@osthyvel.se,sidknu16,Mozzarella,FabriksPersonal,
Sebastian,Lindén,%seBseB7115%,0707121017,seblin17@osthyvel.se,seblin17,Mozzarella,FabriksPersonal,
Nils,Rastborg,[NiLNiL1110[,0707121018,nilras18@osthyvel.se,nilras18,Mozzarella,FabriksPersonal,
Hassan ,Abbas,!HasHas9104!,0707121019,hasabb19@osthyvel.se,hasabb19,Mozzarella,Ekonom,
André,Rodriguez,_aNDaNDoD97_,0707121020,androd20@osthyvel.se,androd20,Mozzarella,Ekonom,
Martin,Sannel,!maRmaR1109!,0707121021,marsan21@osthyvel.se,marsan21,Mozzarella,Provsmakare,
Gilbert,Dikmen,[giLgiLk103[,0707121022,gildik22@osthyvel.se,gildik22,Mozzarella,Provsmakare,
Martin,Jönsson,!maRmaR3109!,0707121023,marjon23@osthyvel.se,marjon23,Mozzarella,ITPersonal,
Tom,Gilmartin,=TomTomL116=,0707121024,tomgil24@osthyvel.se,tomgil24,Mozzarella,ITPersonal,Praktikant
Fadi,Jalka,!FaDFaD5102!,0707121025,fadjal25@osthyvel.se,fadjal25,Mozzarella,HRPersonal,Konsult
Lei,Zhang,%LeiLeia108%,0707121026,leizha26@osthyvel.se,leizha26,Mozzarella,PRPersonal,Konsult
Malin,Joelsson,!maLmaL7109!,0707121027,maljoe27@osthyvel.se,maljoe27,Emmentaler,FabriksPersonal,Ledning
Henry,Rinne,%HeNHeNN104%,0707121028,henrin28@osthyvel.se,henrin28,Emmentaler,ButiksPersonal,Ledning
Viktor,Espinoza,[VikVik9118[,0707121029,vikesp29@osthyvel.se,vikesp29,Emmentaler,KontorsPersonal,Ledning
Marcus,Lindell,!maRmaR3109!,0707121030,marlin30@osthyvel.se,marlin30,Emmentaler,HRPersonal,
Peter,Söderström,%PeTPeT1112%,0707121031,petsod31@osthyvel.se,petsod31,Emmentaler,PRPersonal,
Samuel,Avery,!samsam3115!,0707121032,samave32@osthyvel.se,samave32,Emmentaler,PRPersonal,
Salim,Amiry,!saLsaL3115!,0707121033,salami33@osthyvel.se,salami33,Emmentaler,ITPersonal,
Filip,Sjöberg,[FiLFiL3102[,0707121034,filsjo34@osthyvel.se,filsjo34,Emmentaler,ITPersonal,
Gabriel,Ampuero,!gaBgaB5103!,0707121035,gabamp35@osthyvel.se,gabamp35,Emmentaler,ButiksPersonal,
Tony,Ly,=ToNToN3116=,0707121036,tonly36@osthyvel.se,tonly36,Emmentaler,ButiksPersonal,
Connor,Cisternas,=coNcoN3799=,0707121037,concis37@osthyvel.se,concis37,Emmentaler,ButiksPersonal,
Jack ,Gleeson ,!JacJac3106!,0707121038,jacgle38@osthyvel.se,jacgle38,Emmentaler,ButiksPersonal,
Rasmus,Thaning,!RasRas9114!,0707121039,rastha39@osthyvel.se,rastha39,Emmentaler,FabriksPersonal,
Simon ,Alexandersson,[simsime115[,0707121040,simale40@osthyvel.se,simale40,Emmentaler,FabriksPersonal,
Martin,Sääf,!maRmaR1109!,0707121041,marsaa41@osthyvel.se,marsaa41,Emmentaler,FabriksPersonal,
Shervan,Brifkany,{sHesHei115{,0707121042,shebri42@osthyvel.se,shebri42,Emmentaler,FabriksPersonal,
Fredric,Otternäs,+FReFRe3102+,0707121043,freott43@osthyvel.se,freott43,Emmentaler,FabriksPersonal,
Gustav,Löwenhoff,&gusgusw103&,0707121044,guslow44@osthyvel.se,guslow44,Emmentaler,FabriksPersonal,
Abdul,Wuisman,?aBDaBDi597?,0707121045,abdwui45@osthyvel.se,abdwui45,Emmentaler,Ekonom,
Jojje,Maniatis,=JoJJoJN106=,0707121046,jojman46@osthyvel.se,jojman46,Emmentaler,Ekonom,
Adriana,De la Cruz,-aDRaDRL797-,0707121047,adrdel47@osthyvel.se,adrdel47,Emmentaler,Provsmakare,
Faraz,Khan,!FaRFaRa102!,0707121048,farkha48@osthyvel.se,farkha48,Emmentaler,Provsmakare,
Joakim,Kuurne,=JoaJoa9106=,0707121049,joakuu49@osthyvel.se,joakuu49,Emmentaler,ITPersonal,
Morgan,Hammarborg,=moRmoR5109=,0707121050,morham50@osthyvel.se,morham50,Emmentaler,ITPersonal,Praktikant
Simon,Ejdre,[simsim1115[,0707121051,simejd51@osthyvel.se,simejd51,Emmentaler,HRPersonal,Konsult
Samira,Moazzamian,!samsam5115!,0707121052,sammoa52@osthyvel.se,sammoa52,Emmentaler,PRPersonal,Konsult
Sebastian,Frödin,%seBseB3115%,0707121053,sebfro53@osthyvel.se,sebfro53,Gouda,FabriksPersonal,Ledning
Philip,Sabri,{PHiPHi5112{,0707121054,phisab54@osthyvel.se,phisab54,Gouda,ButiksPersonal,Ledning
Farhan,Ali,!FaRFaR5102!,0707121055,farali55@osthyvel.se,farali55,Gouda,KontorsPersonal,Ledning
Khosto,Aljarkas,{kHokHo5107{,0707121056,khoalj56@osthyvel.se,khoalj56,Gouda,HRPersonal,
William,Palmgren,[wiLwiL7119[,0707121057,wilpal57@osthyvel.se,wilpal57,Gouda,PRPersonal,
Liam,Jobark,[LiaLia5108[,0707121058,liajob58@osthyvel.se,liajob58,Gouda,PRPersonal,
Abdi,Ibrahim,?aBDaBD5997?,0707121059,abdibr59@osthyvel.se,abdibr59,Gouda,ITPersonal,
Filip,Remahl,[FiLFiLm102[,0707121060,filrem60@osthyvel.se,filrem60,Gouda,ITPersonal,
Janna,Dahlberg,!JaNJaN1106!,0707121061,jandah61@osthyvel.se,jandah61,Gouda,ButiksPersonal,
Sebastian,Rojo,%seBseBJ115%,0707121062,sebroj62@osthyvel.se,sebroj62,Gouda,ButiksPersonal,
Philip,Kojhassarly,{PHiPHi3112{,0707121063,phikoj63@osthyvel.se,phikoj63,Gouda,ButiksPersonal,
Mohammad,Ahmed,=moHmoHm109=,0707121064,mohahm64@osthyvel.se,mohahm64,Gouda,ButiksPersonal,
Christoffer,Fransson,{cHRcHRa599{,0707121065,chrfra65@osthyvel.se,chrfra65,Gouda,FabriksPersonal,
Dennis,Skuthälla,%DeNDeNu100%,0707121066,densku66@osthyvel.se,densku66,Gouda,FabriksPersonal,
Christoffer,Skilving,{cHRcHRi799{,0707121067,chrski67@osthyvel.se,chrski67,Gouda,FabriksPersonal,
Mohammad,Abdulrahman,=moHmoHD109=,0707121068,mohabd68@osthyvel.se,mohabd68,Gouda,FabriksPersonal,
Raman,Hersan,!RamRam7114!,0707121070,ramher70@osthyvel.se,ramher70,Gouda,FabriksPersonal,
Ludvig,Lindholm,&LuDLuD7108&,0707121072,ludlin72@osthyvel.se,ludlin72,Gouda,FabriksPersonal,
Aleksander,Stavrakov,)aLeaLe7397),0707121073,alesta73@osthyvel.se,alesta73,Gouda,Ekonom,
Christoffer,Ritter,{cHRcHRT799{,0707121074,chrrit74@osthyvel.se,chrrit74,Gouda,Ekonom,
Malek,Saliba,!maLmaL5109!,0707121075,malsal75@osthyvel.se,malsal75,Gouda,Provsmakare,
Alexander,Hjerpe,)aLeaLee797),0707121076,alehje76@osthyvel.se,alehje76,Gouda,Provsmakare,
Saeed,Golestani,!saesae7115!,0707121077,saegol77@osthyvel.se,saegol77,Gouda,ITPersonal,
Rikard,Sandström,[RikRik7114[,0707121078,riksan78@osthyvel.se,riksan78,Gouda,ITPersonal,Praktikant
Andréa,Vallberg,_aNDaND7997_,0707121079,andval79@osthyvel.se,andval79,Gouda,HRPersonal,Konsult
Daniel,Köhler Palm,!DaNDaNH100!,0707121080,dankoh80@osthyvel.se,dankoh80,Gouda,PRPersonal,Konsult
Piotr,Kubacki,[PioPio1112[,0707121081,piokub81@osthyvel.se,piokub81,Chevre,FabriksPersonal,Ledning
Michael,Levin,[micmicV109[,0707121082,miclev82@osthyvel.se,miclev82,Chevre,ButiksPersonal,Ledning
Emre,Celik,#emRemR3101#,0707121083,emrcel83@osthyvel.se,emrcel83,Chevre,KontorsPersonal,Ledning
Kassa,Yehoalashet,!kaskasH107!,0707121084,kasyeh84@osthyvel.se,kasyeh84,Chevre,HRPersonal,
Amin,Jirari,#amiamiR597#,0707121085,amijir85@osthyvel.se,amijir85,Chevre,PRPersonal,
Mohammad,Zohouri,=moHmoHH109=,0707121086,mohzoh86@osthyvel.se,mohzoh86,Chevre,PRPersonal,
Marcus,Jonasson Brun,!maRmaR7109!,0707121087,marjon87@osthyvel.se,marjon87,Chevre,ITPersonal,
Max,Eklund Hedén ,!maXmaXL109!,0707121088,maxekl88@osthyvel.se,maxekl88,Chevre,ITPersonal,
Sebastian,Borén,%seBseB9115%,0707121089,sebbor89@osthyvel.se,sebbor89,Chevre,ButiksPersonal,
Daniel,Marinow,!DaNDaN9100!,0707121090,danmar90@osthyvel.se,danmar90,Chevre,ButiksPersonal,
Danny,Haque,!DaNDaN1100!,0707121091,danhaq91@osthyvel.se,danhaq91,Chevre,ButiksPersonal,
Victor,Edvardsson,[VicVic9118[,0707121092,vicedv92@osthyvel.se,vicedv92,Chevre,ButiksPersonal,
Noa,Myrdal,=NoaNoa3110=,0707121093,noamyr93@osthyvel.se,noamyr93,Chevre,FabriksPersonal,
Richard,Myrtin,[RicRic9114[,0707121094,ricmyr94@osthyvel.se,ricmyr94,Chevre,FabriksPersonal,
Therese,From,{THeTHe5116{,0707121095,thefro95@osthyvel.se,thefro95,Chevre,FabriksPersonal,
Salah,Ahmmed,!saLsaL9115!,0707121096,salahm96@osthyvel.se,salahm96,Chevre,FabriksPersonal,
Amar,Rashid,#amaama9797#,0707121097,amaras97@osthyvel.se,amaras97,Chevre,FabriksPersonal,
Akif,Ünver,(akiakiV997(,0707121098,akiünv98@osthyvel.se,akiünv98,Chevre,FabriksPersonal,
Dani,Hanna,!DaNDaN9100!,0707121099,danhan99@osthyvel.se,danhan99,Chevre,Ekonom,
Linus,Palmgren,[LiNLiNL108[,0707121100,linpal00@osthyvel.se,linpal00,Chevre,Ekonom,
Adi,Abdulahovic,-aDiaDiD197-,0707121101,adiabd01@osthyvel.se,adiabd01,Chevre,Provsmakare,
Daniel,Ahlström,!DaNDaNL100!,0707121102,danahl02@osthyvel.se,danahl02,Chevre,Provsmakare,
Andras,Ahmad,_aNDaNDm397_,0707121103,andahm03@osthyvel.se,andahm03,Chevre,ITPersonal,
Philip,Bäck,{PHiPHic112{,0707121104,phibac04@osthyvel.se,phibac04,Chevre,ITPersonal,Praktikant
Shenée,Banton,{sHesHe5115{,0707121105,sheban05@osthyvel.se,sheban05,Chevre,HRPersonal,Konsult
Rodrigo,Barrios,=RoDRoDR114=,0707121106,rodbar06@osthyvel.se,rodbar06,Chevre,PRPersonal,Konsult
George,Bergholm,%geogeo7103%,0707121107,geober07@osthyvel.se,geober07,Brie,FabriksPersonal,Ledning
Leo,Bergström,%LeoLeoR108%,0707121108,leober08@osthyvel.se,leober08,Brie,ButiksPersonal,Ledning
Marcus,Carlsson,!maRmaR9109!,0707121109,marcar09@osthyvel.se,marcar09,Brie,KontorsPersonal,Ledning
Jesper,Christenson,%JesJes1106%,0707121110,jeschr10@osthyvel.se,jeschr10,Brie,HRPersonal,
Burak,Dogan,&BuRBuR1198&,0707121111,burdog11@osthyvel.se,burdog11,Brie,PRPersonal,
Martin,Eriksson,!maRmaR1109!,0707121112,mareri12@osthyvel.se,mareri12,Brie,PRPersonal,
Frans,Gabro,+FRaFRa3102+,0707121113,fragab13@osthyvel.se,fragab13,Brie,ITPersonal,
Johan,Gärdström,=JoHJoH1106=,0707121114,johgar14@osthyvel.se,johgar14,Brie,ITPersonal,
Sebastian,Hanna,%seBseB5115%,0707121115,sebhan15@osthyvel.se,sebhan15,Brie,ButiksPersonal,
Rasmus,Hjelm-Eckervall,!RasRas1114!,0707121116,rashje16@osthyvel.se,rashje16,Brie,ButiksPersonal,
Emma,Jakobson,#emmemm7101#,0707121117,emmjak17@osthyvel.se,emmjak17,Brie,ButiksPersonal,
